Pillar,Sub -Pillar,#,Indicator,,Old Weights,New Weights,Algeria,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Romania,Russian Federation,Rwanda,Saudi Arabia,Serbia,Singapore,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Türkiye,Ukraine,UAE,UK,USA,Uzbekistan,Viet Nam,,CoV
,,24,Total Unicorn Valuation in Bn $,,0.50,0.33,-,0.1,1.6,0.2,-,0.4,1.2,-,1.9,0.1,23.7,0.3,-,0.1,0.0,0.2,-,0.0,0.0,-,0.5,2.5,2.9,-,0.1,-,-,5.6,0.3,-,0.4,1.6,0.1,0.4,-,-,-,0.0,0.4,-,0.8,0.0,0.1,0.2,-,-,0.0,-,0.0,-,1.1,-,-,-,0.0,-,3.0,-,0.0,0.2,-,0.7,0.3,0.1,0.0,-,0.3,6.5,100.0,0.0,0.1,,4.36
,,25,Total funding till date of Startups,,,0.33,0.0,0.1,1.4,0.1,0.0,0.4,0.8,0.0,3.1,0.2,6.8,0.2,0.0,0.0,0.1,0.4,0.0,0.0,0.1,0.0,0.2,2.0,2.0,0.0,0.1,0.0,0.1,4.1,0.5,0.0,0.6,0.6,0.8,0.6,0.1,0.1,0.2,0.1,0.4,0.0,1.0,0.1,0.2,0.3,0.0,0,0,0.2,0.1,0.0,0.7,0.1,0.4,0.0,0.9,0.0,0.9,0.0,0.4,0.9,0.0,0.6,1.1,0.1,0.2,0.1,0.7,5.2,100.0,0.0,0.1,,5.96
,Other Emerging Technology,26,Consumer IOT Revenues in MN USD,,0.25,0.14,0.3,0.7,2.6,1.2,0.5,1.2,4.5,0.2,3.1,0.5,68.1,0.6,0.1,0.1,0.5,0.8,0.2,0.2,0.2,0.4,0.5,5.2,8.8,0.1,0.4,0.2,0.3,7.0,2.7,0.4,1.1,0.9,4.5,7.7,0.5,0.2,0.1,0.7,3.1,0.2,2.2,0.3,0.5,1.1,0.4,0.5,1,2,0.4,0.3,3.0,0.6,3.0,0.0,1.9,0.1,0.8,0.4,0.8,2.7,0.1,1.9,2.0,0.8,1.9,0.3,0.7,5.6,100.0,0.2,0.8,,3.77
,,27,AR/VR Revenues in mn $,,0.25,0.14,0.2,2.0,11.4,1.6,0.2,1.3,9.4,-,7.8,1.1,74.0,1.0,-,-,1.0,1.3,0.2,-,0.8,-,0.8,13.0,17.8,-,0.6,-,0.6,7.1,3.5,-,1.1,0.9,9.1,21.4,-,0.0,-,0.8,7.0,0.2,3.6,0.9,0.6,1.5,0.2,0.3,1.5,2,1,0.3,8.2,0.5,4.9,-,0.8,0.0,1.2,-,0.7,6.8,-,2.8,2.4,2.2,1.8,0.2,1.0,13.2,100.0,-,1.0,,2.62
,,28,Metaverse Revenues in bn $,,0.25,0.14,0.2,2.7,4.9,1.3,0.9,1.3,5.8,-,6.4,0.8,66.1,1.0,-,-,0.5,1.0,0.1,-,1.0,-,0.8,8.6,12.3,-,0.4,-,0.3,9.5,3.7,-,0.7,0.9,5.9,17.0,-,0.3,-,1.0,4.1,0.1,2.8,0.7,1.3,1.1,0.8,0.7,1.4,1.6,1,0.1,6.2,0.6,4.2,-,1.3,0.0,0.8,-,1.1,4.1,-,1.7,2.2,1.4,2.7,0.3,0.8,13.3,100.0,-,0.9,,2.85
,,29,DeFi Revenue in mn $,,0.25,0.14,-,7.4,8.1,4.1,-,4.1,21.2,0.2,9.6,3.9,-,6.3,0.1,0.1,3.1,2.6,-,0.7,7.3,0.9,1.3,9.9,19.5,-,4.3,0.3,2.4,67.0,29.0,3.6,2.3,2.0,9.8,14.0,1.6,0.6,0.4,3.1,12.7,1.8,3.2,1.4,16.6,3.3,17.3,3.6,6.7,4.2,2.3,-,8.7,2.9,20.4,0.0,5.2,0.1,2.4,0.2,3.9,12.5,0.3,4.0,3.1,5.1,17.6,2.4,2.7,16.9,100.0,0.9,16.4,,1.80
,,30,Robotics revenue (millions of USD),,,0.14,0.1,1.5,7.0,4.9,0.4,14.9,5.3,0.4,13.3,0.7,89.2,1.5,0.2,0.3,3.0,3.3,0.2,0.2,0.6,0.1,1.6,19.3,45.0,0.1,0.5,0.3,1.1,5.8,1.9,0.2,2.1,1.2,13.6,26.2,0.4,0.2,0.4,2.5,5.6,0.6,12.4,0.8,3.6,1.9,0.4,0.3,0.7,3.4,1.3,0,10,1.0,4.3,0.0,2.1,0.2,3.9,1.1,1.0,7.6,0.1,5.9,8.5,1.6,5.0,0.4,2.5,19.8,100.0,0.2,3.1,,2.47
,,31,Drones revenue (millions of USD),,,0.14,0.1,1.5,6.2,0.9,0.2,0.8,2.2,0.3,2.6,0.7,100.0,0.6,0.1,0.2,0.7,1.3,0.3,0.1,0.1,0.1,0.6,10.7,8.5,0.1,0.1,0.3,0.3,1.8,0.4,0.3,0.1,0.7,3.5,4.2,0.1,0.1,0.1,0.6,1.6,0.1,1.9,1.0,0.7,0.7,0.3,0.2,0.5,1.8,0.4,0.1,2,1,1.4,0.0,0.8,0.1,0.3,0.4,0.6,1.7,0.0,1.4,0.6,0.1,0.9,0.1,0.3,7.5,86.9,0.1,0.2,,4.13
,,32,Crypto Index Score,,,0.14,5.2,17.9,5.8,1.9,6.4,2.0,26.4,2.8,12.7,3.1,12.3,6.3,1.2,1.2,3.1,0.8,1.1,2.1,4.8,9.6,1.5,10.4,10.8,4.3,2.4,0.1,2.5,100.0,67.9,2.0,0.8,2.0,6.2,10.2,2.7,7.8,0.1,3.8,18.3,8.2,6.6,1.0,69.2,0.9,27.9,5.5,27.9,9.9,3.3,0.0,12.3,2,30,0.2,5.5,3.4,1.9,1.3,7.8,9.8,2.0,1.9,2.8,16.2,22.0,40.6,2.7,21.3,53.9,6.6,51.0,,1.55
,AI,,Total AI Private Investment in Millions (vibrancy),,,0.17,-,-,0.4,1.4,-,0.2,0.6,-,2.6,-,8.5,-,-,-,-,0.1,-,-,-,-,0.0,2.4,1.8,-,-,-,-,1.1,-,-,0.1,1.2,0.8,0.8,-,-,-,0.0,0.1,-,1.0,0.0,-,0.2,-,-,-,0.0,0.1,-,1.2,-,-,-,0.0,-,0.8,-,0.0,0.4,-,4.0,-,-,0.5,-,1.6,4.1,100.0,-,-,,4.13
,,,Newly Funded AI Companies (vibrancy),,,0.17,-,-,2.1,0.8,-,0.7,1.5,-,4.7,-,9.1,-,-,-,-,1.3,-,-,-,-,1.0,5.4,6.2,-,-,-,-,6.8,-,-,0.7,3.3,1.2,3.8,-,-,-,0.0,0.2,-,2.2,0.1,-,0.7,-,-,-,0.4,0.4,-,4.8,-,-,-,0,-,3.6,-,0.3,1.6,-,1.4,2.0,-,0.4,-,0.7,10.8,100.0,-,-,,3.18
