BLOC, Country                 , Price of mobile data and voice basket (HC)  (% of GNI PC), Price of mobile data and voice basket (HC)  (% of GNI PC), Price of cheapest smartphone (% of GNI per capita), Price of fixed broadband internet (% of GNI), Median Mobile Download Speeds (Mbps), Median Fixed Broadband Download Speed (Mbps), % of population using the internet, Mobile Cellular Subscriptions per 100 population, % of Population covered by LTE, % of population using smartphones users, % of internet users (16-64 years) using social media for work related activities, Percent of internet users using digital food delivery platforms, Percent of internet users using digital health applications, Percent of internet users using e-commerce users, Consumer Spend per internet user on Mobile Apps (millions USD)  PPP per internet user, Percent of internet users using video on demand users, Fixed-broadband Internet traffic per subscriber (GB), Mobile broadband internet traffic (GB per subscription), Value of digital payment transactions (PPP$ adjusted) per internet user, % of internet users who made or received a digital payment, Total digitally delivered services (million USD) as percent of GDP USD, ICT sector employment (% of Total Labour force), Number of Start-ups per limited liability company, Valuation of Unicorns as a percent of GDP, Total funding till date of Startups having their Head Quarters or atleast one office location in India per startup (Millions of USD), Consumer IoT revenues (USD PPP$ adjusted) per internet user, AR/ VR revenues (PPP$ adjusted) per smartphone user, Metaverse revenue (PPP$ adjusted) per smartphone user, DeFi revenue (millions of USD PPP$ adjusted) per internet user, Robotics revenue (millions of USD), Drones revenue (millions of USD), Crypto Index Score, "Cybersecurity revenue (PPP exchange rate adjusted ) in million $ , per internet users", Number of Secure servers per internet user, Ransomware attacks detected per month as a % of internet users, Ransomware victims per million internet users, Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3), E-waste generated (kg per capita) - directly from source, E-waste generated (kg per internet user) - calculated as total divided by internet users, Share of energy startups that are digital, VC investments in AI and environmental sustainability by country (USD million) per capita, Patents filed (2000-2023) in Smart Grids as a % of enabling tech patents, Patents filed (2000-2023) in Information/Communication Technologies for Electromobility as a % of total patents filed, Share of total electricity generated that is renewable, Renewable energy share of electricity production (%), Relative AAL by Climate (% of Exposed value) for the Telecom Sector - Existing Climate, , , , , , , , , , , , , Number of AI users, Compute capacity, Open Data Score, AI Infrastructure, AI Infrastructure, Compute Capacity (Rmax) in Millions, Apps and Platforms, Development: Open Source models score, Relative AI Skill Penetration, AI Talent Pillar Score, Total AI Private Investment in Millions, Newly Funded AI Companies, AI commercial, AI Innovation - Research, AI Research and Development- score, Safety and security, Responsible AI - Conference Submissions on RAI Topics (Total), Public trust score
    , Slovakia                ,                                                      1.10,                                                      0.80, 0.05                                              ,                                         0.80,                               114.00,                                        97.00,                               0.89, 140.00                                          ,                          99.00,                                    0.91, -                                                                               ,                                                           44.99,                                                       40.90,                                            61.35, -                                                                                    ,                                                 57.26, "2,367.90"                                          , 146.10                                                 , "5,130.90"                                                             , 57.67                                                     ,                                                                   4.46, 4.09                                           , 18.00                                            , -                                        , 0.36                                                                                                                                ,                                                      252.00, -                                                  , -                                                    , 2.00                                                          ,                              40.00,                             2.17,               2.00,                                                                                   54.80,                                       0.26, 0.0006000                                                     ,                                          1.43,                                                                6.09,                                                    15.40,                                                                                    17.18, 1.00                                     , 544.78                                                                                   ,                                                                     0.05, 0.00                                                                                                                 , 0.08                                                  ,                                                22.40,                                                                                   0.25, , , , , , , , , , , , ,              23.80,             7.91,           76.00,             55.80, 18.00            , -                                  ,              53.43, 0.00                                 , -                            , 7.00                  , -                                      , -                        , 4.00         , 2.00                    , -                                 ,               33.33, -                                                            , 36.90
    , South Africa            ,                                                      3.70,                                                      1.10, 0.05                                              ,                                         3.40,                                66.00,                                        48.00,                               0.73, 180.00                                          ,                          99.00,                                    0.50, 52.20                                                                           ,                                                           48.57,                                                       18.75,                                            35.79, "1,834.25"                                                                           ,                                                 76.48, "2,099.07"                                          , 48.50                                                  , "1,805.95"                                                             , 33.98                                                     ,                                                                   2.00, -                                              , 91.00                                            , 0.40                                     , 1.50                                                                                                                                ,                                                       79.00, 11.50                                              , 39.93                                                , 5.00                                                          ,                               5.00,                             0.54,               8.00,                                                                                   34.81,                                       1.45, 0.0001000                                                     ,                                          0.51,                                                                5.71,                                                     8.80,                                                                                    11.23, 0.06                                     , "5,468.14"                                                                               ,                                                                     0.07, 0.08                                                                                                                 , -                                                     ,                                                 8.30,                                                                                   0.12, , , , , , , , , , , , ,              21.10,            29.64,           51.00,             60.05, 12.00            , -                                  ,              54.78, 0.00                                 , 0.67                         , 2.00                  , 0.00                                   , 0.01                     , 6.00         , 1.00                    , 0.58                              ,               43.00, -                                                            , 51.40
    , Spain                   ,                                                      0.40,                                                      0.40, 0.05                                              ,                                         0.70,                                93.00,                                       269.00,                               0.96, 130.00                                          ,                         100.00,                                    0.97, 26.40                                                                           ,                                                           41.25,                                                       29.31,                                            71.64, "4,091.59"                                                                           ,                                                 87.49, "4,324.07"                                          , 156.30                                                 , "7,445.53"                                                             , 68.37                                                     ,                                                                   5.45, 3.09                                           , 17.00                                            , 0.45                                     , 2.41                                                                                                                                ,                                                      172.00, 33.70                                              , 52.48                                                , 11.00                                                         ,                              27.00,                             0.95,              10.00,                                                                                  113.17,                                       1.52, 0.0014000                                                     ,                                          3.23,                                                               24.06,                                                    19.60,                                                                                    20.30, 0.17                                     , "3,631.77"                                                                               ,                                                                     0.06, 0.07                                                                                                                 , 0.20                                                  ,                                                50.30,                                                                                   0.07, , , , , , , , , , , , ,              41.80,            25.03,           77.00,             65.72, 26.00            , 221.87                             ,              63.08, 12.10                                , 0.98                         , 17.00                 , 0.02                                   , 0.01                     , 7.00         , 6.00                    , 2.97                              ,              100.00, 2.00                                                         , 35.10
    , Sri Lanka               ,                                                      0.60,                                                      0.40, 0.41                                              ,                                         0.70,                                39.00,                                        32.00,                               0.49, 132.00                                          ,                          97.00,                                    0.39, -                                                                               ,                                                           30.17,                                                       14.20,                                            31.94, -                                                                                    ,                                                 97.61, 558.40                                              , 149.60                                                 , "3,536.54"                                                             , 30.70                                                     ,                                                                   1.64, 1.03                                           , 55.00                                            , -                                        , 0.31                                                                                                                                ,                                                       55.00, -                                                  , -                                                    , 3.00                                                          ,                               4.00,                             0.27,               2.00,                                                                                   17.65,                                       0.02, 0.0007000                                                     ,                                          0.62,                                                                4.95,                                                     8.00,                                                                                    15.53, 0.00                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                48.60,                                                                                   0.47, , , , , , , , , , , , ,               6.60,             3.29,           49.00,             44.09, 11.00            , -                                  ,              42.16, 0.00                                 , -                            , 4.00                  , -                                      , -                        , 2.00         , 0.00                    , -                                 ,               43.00, -                                                            , 36.90
    , Sweden                  ,                                                      0.40,                                                      0.30, 0.04                                              ,                                         1.10,                               150.00,                                       198.00,                               0.97, 140.00                                          ,                         100.00,                                    1.02, 22.30                                                                           ,                                                           71.01,                                                       41.83,                                            86.57, "8,949.73"                                                                           ,                                                 63.23, -                                                   , 334.40                                                 , "12,046.55"                                                            , 79.18                                                     ,                                                                  15.15, 5.31                                           , 41.00                                            , 3.66                                     , 2.85                                                                                                                                ,                                                      413.00, 49.30                                              , 79.75                                                , 12.00                                                         ,                              69.00,                             2.52,               2.00,                                                                                  176.98,                                       0.60, 0.0000000                                                     ,                                          4.67,                                                               27.93,                                                    21.00,                                                                                    21.50, 0.27                                     , "17,724.14"                                                                              ,                                                                     0.03, 0.04                                                                                                                 , 0.29                                                  ,                                                69.40,                                                                                   0.04, , , , , , , , , , , , ,              33.30,            34.06,           82.00,             67.49, 26.00            , 63.03                              ,              74.50, 0.50                                 , 0.64                         , 17.00                 , 0.72                                   , 0.02                     , 12.00        , 8.00                    , 1.28                              ,               33.33, -                                                            , 16.20
    , Switzerland             ,                                                      0.50,                                                      0.40, 0.02                                              ,                                         0.90,                               127.00,                                       284.00,                               0.96, 130.00                                          ,                         100.00,                                    0.95, 23.90                                                                           ,                                                           49.10,                                                       43.25,                                            86.51, "10,602.15"                                                                          ,                                                 52.61, "2,642.00"                                          , 224.20                                                 , "6,978.93"                                                             , 82.65                                                     ,                                                                  14.25, 3.72                                           , 105.00                                           , 1.04                                     , 3.35                                                                                                                                ,                                                      396.00, 39.90                                              , 92.77                                                , 8.00                                                          ,                              90.00,                             1.02,               3.00,                                                                                   97.70,                                       1.57, 0.0058000                                                     ,                                          7.48,                                                               14.56,                                                    23.40,                                                                                    23.85, 0.09                                     , 112.08                                                                                   ,                                                                     0.05, 0.06                                                                                                                 , 0.22                                                  ,                                                59.90,                                                                                   0.11, , , , , , , , , , , , ,              34.80,            31.63,           66.00,             68.97, 34.00            , 473.52                             ,              75.34, 8.60                                 , 0.71                         , 30.00                 , -                                      , 0.05                     , 12.00        , 18.00                   , 1.87                              ,               33.33, 28.00                                                        , 15.30
    , Thailand                ,                                                      1.10,                                                      1.10, 0.12                                              ,                                         2.50,                               136.00,                                       276.00,                               0.88, 160.00                                          ,                          99.00,                                    0.80, 34.90                                                                           ,                                                           48.50,                                                       15.96,                                            40.13, "7,208.24"                                                                           ,                                                 75.99, "4,310.33"                                          , 345.30                                                 , "9,604.07"                                                             , 38.77                                                     ,                                                                   3.52, 0.45                                           , 17.00                                            , 0.47                                     , 0.77                                                                                                                                ,                                                       78.00, 19.60                                              , 33.38                                                , 7.00                                                          ,                               8.00,                             0.13,              16.00,                                                                                   19.17,                                       0.26, 0.0001000                                                     ,                                          0.81,                                                                7.31,                                                    10.50,                                                                                    11.90, 0.00                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                21.00,                                                                                   0.24, , , , , , , , , , , , ,              10.70,            21.34,           64.00,             56.38, 25.00            , -                                  ,              58.94, 0.10                                 , -                            , 3.00                  , -                                      , -                        , 2.00         , 1.00                    , -                                 ,               33.33, -                                                            , 100.00
    , Türkiye                 ,                                                      0.60,                                                      0.60, 0.09                                              ,                                         1.30,                                67.00,                                        72.00,                               0.87, 108.00                                          ,                         100.00,                                    0.98, 36.40                                                                           ,                                                           62.53,                                                       25.90,                                            48.27, "3,397.34"                                                                           ,                                                 82.15, "3,029.77"                                          , 192.40                                                 , "4,233.08"                                                             , 39.83                                                     ,                                                                   1.14, 0.94                                           , 20.00                                            , 0.15                                     , 0.84                                                                                                                                ,                                                      111.00, 8.90                                               , 32.68                                                , 14.00                                                         ,                              16.00,                             0.45,              22.00,                                                                                   16.07,                                       1.09, 0.0009000                                                     ,                                          0.64,                                                                2.62,                                                    12.70,                                                                                    14.09, 0.41                                     , 0.00                                                                                     ,                                                                     0.07, 0.06                                                                                                                 , 0.18                                                  ,                                                42.30,                                                                                   0.20, , , , , , , , , , , , ,              14.60,            13.29,           64.00,             52.76, 16.00            , 7.37                               ,              60.89, 0.50                                 , 0.81                         , 8.00                  , 0.04                                   , 0.00                     , 2.00         , 3.00                    , 2.16                              ,               50.00, -                                                            , 78.40
    , Ukraine                 ,                                                      1.40,                                                      1.40, 0.20                                              ,                                         2.80,                                46.00,                                        91.00,                               0.89, 59.00                                           ,                          91.00,                                    0.98, -                                                                               ,                                                           14.59,                                                       13.10,                                            44.66, -                                                                                    ,                                                 46.75, -                                                   , -                                                      , "2,104.26"                                                             , 42.82                                                     ,                                                                   4.95, -                                              , -                                                , -                                        , 0.86                                                                                                                                ,                                                       60.00, 4.40                                               , 16.64                                                , 6.00                                                          ,                               4.00,                             0.23,              41.00,                                                                                   15.00,                                       0.42, 0.0001000                                                     ,                                          0.03,                                                                5.80,                                                     8.90,                                                                                    11.46, 0.00                                     , -                                                                                        ,                                                                     0.02, 0.07                                                                                                                 , -                                                     ,                                                17.90,                                                                                   0.16, , , , , , , , , , , , ,               9.00,            10.99,           64.00,             52.40, 17.00            , -                                  ,              51.81, 0.00                                 , -                            , 5.00                  , -                                      , -                        , 2.00         , 1.00                    , -                                 ,               59.67, -                                                            , 44.10
    , United Arab Emirates    ,                                                      0.90,                                                      0.40, 0.01                                              ,                                         0.50,                               692.00,                                       382.00,                               1.00, 763.00                                          ,                         100.00,                                    1.13, 47.60                                                                           ,                                                           47.16,                                                       19.95,                                            57.13, "9,880.80"                                                                           ,                                                 76.18, "8,307.93"                                          , 237.10                                                 , "12,723.88"                                                            , 54.68                                                     ,                                                                   5.90, 2.90                                           , -                                                , 1.68                                     , 1.85                                                                                                                                ,                                                      187.00, 23.40                                              , 49.84                                                , 10.00                                                         ,                              38.00,                             0.66,               3.00,                                                                                   80.95,                                       0.05, 0.0025000                                                     ,                                          4.35,                                                               12.06,                                                    18.90,                                                                                    16.14, 0.05                                     , "178,831.66"                                                                             ,                                                                     0.07, -                                                                                                                    , -                                                     ,                                                 8.70,                                                                                   0.11, , , , , , , , , , , , ,              64.00,            40.49,           84.00,             73.77, 29.00            , 68.16                              ,              67.95, 11.40                                , 0.79                         , 6.00                  , 0.32                                   , -                        , 13.00        , 11.00                   , 1.31                              ,               33.33, 9.00                                                         , 24.30
    , United Kingdom          ,                                                      0.30,                                                      0.30, 0.03                                              ,                                         1.00,                                72.00,                                       162.00,                               0.96, -                                               ,                         100.00,                                    0.92, 25.50                                                                           ,                                                           72.76,                                                       32.76,                                            84.39, "9,340.97"                                                                           ,                                                 86.80, "6,359.80"                                          , 121.80                                                 , "12,346.17"                                                            , 74.50                                                     ,                                                                  15.15, 4.74                                           , 215.00                                           , 5.21                                     , 0.66                                                                                                                                ,                                                      178.00, 36.00                                              , 91.61                                                , 7.00                                                          ,                              35.00,                             2.05,              22.00,                                                                                  206.91,                                       4.95, 0.0002000                                                     ,                                          3.76,                                                               30.95,                                                    24.50,                                                                                    24.94, 0.31                                     , "82,038.60"                                                                              ,                                                                     0.06, 0.06                                                                                                                 , 0.14                                                  ,                                                46.30,                                                                                   0.05, , , , , , , , , , , , ,              38.90,            50.34,           70.00,             72.49, 27.00            , 84.81                              ,              75.90, 9.50                                 , 1.13                         , 32.00                 , 0.12                                   , 0.02                     , 25.00        , 23.00                   , 9.26                              ,              100.00, 67.00                                                        , 24.30
    , United States of America,                                                      0.70,                                                      0.70, 0.03                                              ,                                         0.80,                               198.00,                                       306.00,                               0.96, 113.00                                          ,                          99.00,                                    1.01, 24.60                                                                           ,                                                           79.16,                                                       41.39,                                            97.14, "15,002.00"                                                                          ,                                                 74.25, -                                                   , 187.60                                                 , "13,463.86"                                                            , 84.87                                                     ,                                                                   2.78, 3.50                                           , 65.00                                            , 9.90                                     , 10.86                                                                                                                               ,                                                      561.00, 43.90                                              , 111.02                                               , 8.00                                                          ,                              31.00,                             4.19,              54.00,                                                                                  252.05,                                      69.55, -                                                             ,                                          9.89,                                                              107.64,                                                    21.30,                                                                                    21.65, 0.22                                     , "16,420.28"                                                                              ,                                                                     0.05, 0.07                                                                                                                 , 0.09                                                  ,                                                21.60,                                                                                   0.30, , , , , , , , , , , , ,              28.30,            90.92,           78.00,             91.77, 100.00           , "6,480.00"                         ,              85.96, 100.00                               , 1.90                         , 100.00                , 0.37                                   , 0.05                     , 100.00       , 100.00                  , 68.93                             ,              100.00, 669.00                                                       , -
    , Uzbekistan              ,                                                      0.90,                                                      0.90, 0.47                                              ,                                         1.30,                                51.00,                                        91.00,                               0.82, 111.00                                          ,                          97.00,                                    0.91, -                                                                               ,                                                           13.82,                                                       11.79,                                            35.38, -                                                                                    ,                                                 41.11, 581.64                                              , 270.10                                                 , "1,743.47"                                                             , 34.34                                                     ,                                                                   1.16, 0.44                                           , 2.00                                             , 1.04                                     , 0.58                                                                                                                                ,                                                       41.00, -                                                  , -                                                    , 3.00                                                          ,                               3.00,                             0.29,               7.00,                                                                                   10.05,                                       0.04, 0.0003000                                                     ,                                          0.07,                                                                0.32,                                                     3.70,                                                                                     4.31, 0.00                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                10.80,                                                                                   0.21, , , , , , , , , , , , ,               6.30,             5.84,           83.00,             47.05, -                , -                                  ,              45.14, -                                    , -                            , -                     , -                                      , -                        , -            , -                       , -                                 ,               33.33, -                                                            , -
    , Viet Nam                ,                                                      1.00,                                                      1.10, 0.17                                              ,                                         1.80,                               179.00,                                       287.00,                               0.86, 128.00                                          ,                         100.00,                                    0.98, 42.50                                                                           ,                                                           35.46,                                                       11.40,                                            33.50, "2,371.49"                                                                           ,                                                 80.93, "5,786.49"                                          , 128.40                                                 , "4,793.69"                                                             , 24.65                                                     ,                                                                   1.14, 2.59                                           , -                                                , 1.15                                     , 1.37                                                                                                                                ,                                                       59.00, 6.50                                               , 16.02                                                , 17.00                                                         ,                              13.00,                             0.17,              51.00,                                                                                   12.74,                                       0.67, 0.0002000                                                     ,                                          0.21,                                                               19.70,                                                     5.30,                                                                                     5.94, 0.00                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                44.90,                                                                                   0.62, , , , , , , , , , , , ,              23.50,            10.66,           48.00,             57.41, 22.00            , -                                  ,              60.74, 0.20                                 , -                            , 6.00                  , -                                      , -                        , 2.00         , 1.00                    , -                                 ,               33.33, -                                                            , 81.10
